GUID,First Name,Middle,Last Name,Suffix,Professional Title,School,Affiliation
22,Karen,,Fiumara,PharmD,Director of Patient Safety,Brigham and Women's Hospital,Session Faculty
23,Sara,,Francis,RN,Staff Nurse,Brigham and Women's Hospital,Session Faculty
24,Joseph,,Frolkis,MD,"Director of Primary Care, Associate Chief of the Division of General Internal Medicine and Primary Care","and Vice Chair for Primary Care, Brigham and Women's Hospital, Harvard Medical School Faculty",Session Faculty
25,Eric,,Goralnick,"MD, MS","Medical Director of Emergency Preparedness, Associate Clinical Director, Department of Emergency Medicine, Brigham and Women's Hospital; Instructor in Health Policy and
Management","Harvard School of Public Health, Harvard Medical School Faculty",Session Faculty
26,Dorothy,,Goulart,"MS, RN","Director, Performance Improvement",Brigham and Women's Hospital,Session Faculty
27,Jeffery,,Greenberg,MD,"Associate Medical Director, Brigham and Women's Physicians Organization",Harvard Medical School Faculty,Session Faculty
28,Anjlee,,Joshi,,"Senior Consultant, Performance Improvement",Brigham and Women's Faulkner Hospital,Session Faculty
29,Allen,,Kachalia,"MD, JD","Chief Quality Officer and Vice President for Quality and Safety, Academic Hospitalist, Brigham and Women's Hospital",Harvard Medical School Faculty,Session Faculty
30,Mary,Anne,Kenyon,RN,"Nursing Director, Department of Orthopedic Surgery",Brigham and Women's Hospital,Session Faculty
31,Joshua,,Kosowsky,MD,"Clinical Director, Emergency Medicine Vice Chair, Clinical Affairs","Brigham and Women's Hospital, Harvard Medical School Faculty",Session Faculty
32,Kevin,,Kreitzman,,Assistant Director of Biomedical Engineering, Brigham and Women's Hospital,Session Faculty
33,Karl,,Laskowski,MD,"Assistant Medical Director, Brigham and Women's Physician Organization",Harvard Medical School Faculty,Session Faculty
34,Anthony,,Massaro,MD,"Director, Medical Intensive Care Unit, Brigham and Women's Hospital",Harvard Medical School Faculty,Session Faculty
35,Scott,,Mueller,,Architect,TRO Jung/Brannen,Session Faculty
36,Peter,,Najjar,MD,"General Surgery Resident, Harvard Medical School; Fellow, Patient Safety and Quality",Brigham and Women's Hospital,Session Faculty
37,Stuart,,Pollack,MD,"Medical Director, South Huntington Primary Care, Brigham and Women's Hospital",Harvard Medical School Faculty,Session Faculty
38,John,,Rossi,,Lead Consultant,"Performance Improvement, Brigham and Women's Hospital",Session Faculty
39,Lisa,,Rubino,,"Senior Consultant, Ambulatory Patient Safety",Brigham and Women's Hospital,Session Faculty
40,Katherine,,Santos,,Director of Performance Improvement,Brigham and Women's Faulkner Hospital,Session Faculty
41,Jeffrey,L.,Schnipper,"MD, MPH","Hospitalist, Brigham and Women's Hospital",Harvard Medical School Faculty,Session Faculty
42,Gayle,,Schumacher,,Family Member of a Brigham and Women's Hospital Patient,,Session Faculty
43,Ben,,Scirica,MD,"Cardiologist, Brigham and Women's Hospital",Harvard Medical School Faculty,Session Faculty
44,Jo,,Shapiro,MD,"Division Chief, Otolaryngology - Head and Neck Surgery, Brigham and Women's Hospital",Harvard Medical School Faculty,Session Faculty
45,Lesley,,Solomon,MBA,"Executive Director, Innovation Hub", Brigham and Women's Hospital,Session Faculty
46,Jackie,,Somerville,"PhD, RN",Chief Nursing Officer and Senior Vice President for Patient Care Services,Brigham and Women's Hospital,Session Faculty
47,Escel,,Stanghellini,"RN, MSN","Director, Nursing Quality Program",Brigham and Women's Hospital,Session Faculty
48,Rob,,Sutfin,MBA,"Director, Decision Support Systems",Brigham and Women's Hospital,Session Faculty
49,Catherine,,Ulbricht,PharmD,"Senior Consultant, Patient Safety",Brigham and Women's Hospital,Session Faculty
50,Lisa,,Wichmann,RN,"Nursing Director, Ambulatory Care Coordination",Brigham and Women's Hospital,Session Faculty
51,John,,Wright,MD,"Orthopedic Surgeon, Brigham and Women's Hospital",Harvard Medical School Faculty,Session Faculty
52,Deborah,,Yokoe,"MD, MPH","Hospital Epidemiologist and Medical Director of Infection Control, Brigham and Women's Hospital and Dana-Farber Cancer Institute",Harvard Medical School Faculty,Session Faculty
