GUID,First Name,Middle,Last Name,Suffix,Professional Title,School,Affiliation
33,Peter,Najjar,MD,"General Surgery Resident,Harvard Medical School
Harvard Medical School Fellow, Patient Safety and Quality",,Brigham and Women's Hospital,Harvard Medical School
34,Stuart,Pollack,MD,"Medical Director, South Huntington Primary Care","Instructor in Medicine, Harvard Medical School",Brigham and Women's Hospital,Harvard Medical School
35,John,Rossi,,"Lead Consultant, Performance Improvement",,Brigham and Women's Hospital,Harvard Medical School
36,Lisa,Rubino,,"Senior Consultant, Ambulatory Patient Safety",,Brigham and Women's Hospital,Harvard Medical School
37,Katherine,Santos,,Director of Performance Improvement,,Brigham and Women's Faulkner Hospital,Harvard Medical School
38,Jeffrey L.,Schnipper,"MD, MPH",Hospitalist,"Associate Professor of Medicine, Harvard Medical School",Brigham and Women's Hospital,Harvard Medical School
39,Gayle,Schumacher,,Family Member of a Brigham and Women's Hospital Patient,,Brigham and Women's Hospital,Harvard Medical School
40,Ben,Scirica,MD,Cardiologist,"Associate Professor of Medicine, Harvard Medical School",Brigham and Women's Hospital,Harvard Medical School
41,Jo,Shapiro,MD,"Division Chief, Otolaryngology - Head and Neck Surgery","Associate Professor of Otology and Laryngology, Harvard Medical School",Brigham and Women's Hospital,Harvard Medical School
42,Lesley,Solomon,MBA,"Executive Director, Innovation Hub",,Brigham and Women's Hospital,Harvard Medical School
43,Jackie,Somerville,"PhD, RN",Chief Nursing Officer and Senior Vice President for Patient Care Services,,Brigham and Women's Hospital,Harvard Medical School
44,Escel,Stanghellini,"RN, MSN","Director, Nursing Quality Program",,Brigham and Women's Hospital,Harvard Medical School
45,Rob,Sutfin,MBA,"Director, Decision Support Systems",,Brigham and Women's Hospital,Harvard Medical School
46,Catherine,Ulbricht,PharmD,"Senior Consultant, Patient Safety",,Brigham and Women's Hospital,Harvard Medical School
47,Lisa,Wichmann,RN,"Nursing Director, Ambulatory Care Coordination",,Brigham and Women's Hospital,Harvard Medical School
48,John,Wright,MD,Orthopedic Surgeon,"Assistant Clinical Professor of Orthopedic Surgery, Harvard Medical School",Brigham and Women's Hospital,Harvard Medical School
49,Deborah,Yokoe,"MD, MPH",Hospital Epidemiologist and Medical Director of Infection Control,"Associate Professor of Medicine, Harvard Medical School",Brigham and Women's Hospital and Dana Farber Cancer Institute,
